"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","shot","minute"
"1982","Golden State Warriors","3/31/17",2016,4,8,47,"n","Jump Shot","3PT Field Goal",30,"Houston Rockets",-74,296,"Klay Thompson","shot no",40
"1983","Golden State Warriors","3/31/17",2016,1,0,4,"n","Jump Shot","3PT Field Goal",25,"Houston Rockets",145,208,"Klay Thompson","shot no",12
"1984","Golden State Warriors","3/31/17",2016,1,6,43,"n","Jump Shot","3PT Field Goal",26,"Houston Rockets",81,257,"Klay Thompson","shot no",6
"1985","Golden State Warriors","3/31/17",2016,2,6,0,"n","Jump Shot","2PT Field Goal",11,"Houston Rockets",97,70,"Klay Thompson","shot no",18
"1986","Golden State Warriors","3/31/17",2016,1,9,11,"n","Jump Shot","3PT Field Goal",24,"Houston Rockets",-240,-11,"Klay Thompson","shot no",3
"1987","Golden State Warriors","3/31/17",2016,2,10,55,"n","Jump Shot","2PT Field Goal",18,"Houston Rockets",110,154,"Klay Thompson","shot no",14
"1988","Golden State Warriors","3/31/17",2016,3,9,59,"y","Jump Shot","3PT Field Goal",25,"Houston Rockets",141,210,"Klay Thompson","shot yes",27
"1989","Golden State Warriors","12/17/16",2016,1,3,53,"n","Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",94,247,"Klay Thompson","shot no",9
"1990","Golden State Warriors","12/17/16",2016,3,8,13,"y","Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",215,129,"Klay Thompson","shot yes",28
"1991","Golden State Warriors","11/19/16",2016,1,0,6,"n","Jump Shot","2PT Field Goal",16,"Milwaukee Bucks",-168,0,"Klay Thompson","shot no",12
"1992","Golden State Warriors","11/19/16",2016,3,10,25,"n","Jump Shot","3PT Field Goal",29,"Milwaukee Bucks",-207,210,"Klay Thompson","shot no",26
"1993","Golden State Warriors","11/19/16",2016,3,0,17,"y","Jump Shot","2PT Field Goal",12,"Milwaukee Bucks",120,-15,"Klay Thompson","shot yes",36
"1994","Golden State Warriors","11/19/16",2016,1,9,52,"n","Jump Shot","2PT Field Goal",13,"Milwaukee Bucks",133,-26,"Klay Thompson","shot no",3
"1995","Golden State Warriors","11/19/16",2016,3,5,10,"y","Jump Shot","3PT Field Goal",25,"Milwaukee Bucks",-230,115,"Klay Thompson","shot yes",31
"1996","Golden State Warriors","11/19/16",2016,2,2,58,"n","Jump Shot","3PT Field Goal",25,"Milwaukee Bucks",220,131,"Klay Thompson","shot no",22
"1997","Golden State Warriors","11/19/16",2016,3,9,47,"y","Jump Shot","3PT Field Goal",26,"Milwaukee Bucks",130,234,"Klay Thompson","shot yes",27
"1998","Golden State Warriors","11/19/16",2016,4,8,10,"y","Jump Shot","3PT Field Goal",24,"Milwaukee Bucks",207,139,"Klay Thompson","shot yes",40
"1999","Golden State Warriors","11/19/16",2016,1,0,2,"n","Jump Shot","3PT Field Goal",25,"Milwaukee Bucks",197,154,"Klay Thompson","shot no",12
"2000","Golden State Warriors","11/19/16",2016,2,9,58,"n","Jump Shot","2PT Field Goal",20,"Milwaukee Bucks",-135,149,"Klay Thompson","shot no",15
"2001","Golden State Warriors","11/19/16",2016,3,6,18,"n","Jump Shot","3PT Field Goal",25,"Milwaukee Bucks",101,237,"Klay Thompson","shot no",30
"2002","Golden State Warriors","11/19/16",2016,1,9,7,"n","Jump Shot","3PT Field Goal",24,"Milwaukee Bucks",245,-1,"Klay Thompson","shot no",3
"2003","Golden State Warriors","11/19/16",2016,3,7,11,"y","Jump Shot","3PT Field Goal",25,"Milwaukee Bucks",133,223,"Klay Thompson","shot yes",29
"2004","Golden State Warriors","11/19/16",2016,3,11,24,"y","Jump Shot","3PT Field Goal",26,"Milwaukee Bucks",96,242,"Klay Thompson","shot yes",25
"2005","Golden State Warriors","1/16/17",2016,4,8,42,"n","Jump Shot","2PT Field Goal",14,"Cleveland Cavaliers",9,149,"Klay Thompson","shot no",40
"2006","Golden State Warriors","1/16/17",2016,4,6,39,"y","Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",112,234,"Klay Thompson","shot yes",42
"2007","Golden State Warriors","1/16/17",2016,1,9,20,"n","Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",-191,183,"Klay Thompson","shot no",3
"2008","Golden State Warriors","1/16/17",2016,2,3,31,"y","Jump Shot","3PT Field Goal",22,"Cleveland Cavaliers",-227,36,"Klay Thompson","shot yes",21
"2009","Golden State Warriors","1/16/17",2016,1,7,20,"n","Jump Shot","2PT Field Goal",10,"Cleveland Cavaliers",69,82,"Klay Thompson","shot no",5
"2010","Golden State Warriors","1/16/17",2016,1,6,28,"y","Jump Shot","2PT Field Goal",17,"Cleveland Cavaliers",128,126,"Klay Thompson","shot yes",6
"2011","Golden State Warriors","1/16/17",2016,3,11,8,"y","Jump Shot","3PT Field Goal",22,"Cleveland Cavaliers",227,11,"Klay Thompson","shot yes",25
"2012","Golden State Warriors","1/16/17",2016,3,10,4,"n","Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",-237,56,"Klay Thompson","shot no",26
"2013","Golden State Warriors","1/25/17",2016,2,6,5,"n","Jump Shot","2PT Field Goal",14,"Charlotte Hornets",-99,111,"Klay Thompson","shot no",18
"2014","Golden State Warriors","1/6/17",2016,3,6,2,"n","Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",220,129,"Klay Thompson","shot no",30
"2015","Golden State Warriors","1/6/17",2016,1,8,6,"n","Jump Shot","2PT Field Goal",5,"Memphis Grizzlies",1,51,"Klay Thompson","shot no",4
"2016","Golden State Warriors","1/6/17",2016,1,8,2,"y","Jump Shot","2PT Field Goal",3,"Memphis Grizzlies",-19,31,"Klay Thompson","shot yes",4
"2017","Golden State Warriors","1/6/17",2016,1,11,15,"n","Jump Shot","2PT Field Goal",3,"Memphis Grizzlies",27,28,"Klay Thompson","shot no",1
"2018","Golden State Warriors","1/25/17",2016,4,9,1,"n","Jump Shot","3PT Field Goal",24,"Charlotte Hornets",63,232,"Klay Thompson","shot no",39
"2019","Golden State Warriors","1/25/17",2016,1,11,41,"n","Jump Shot","3PT Field Goal",24,"Charlotte Hornets",164,183,"Klay Thompson","shot no",1
"2020","Golden State Warriors","1/25/17",2016,3,5,49,"y","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-205,146,"Klay Thompson","shot yes",31
"2021","Golden State Warriors","1/25/17",2016,2,7,20,"n","Jump Shot","2PT Field Goal",19,"Charlotte Hornets",-138,141,"Klay Thompson","shot no",17
"2022","Golden State Warriors","1/25/17",2016,2,8,50,"n","Jump Shot","3PT Field Goal",24,"Charlotte Hornets",87,229,"Klay Thompson","shot no",16
"2023","Golden State Warriors","1/25/17",2016,3,10,37,"n","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-173,183,"Klay Thompson","shot no",26
"2024","Golden State Warriors","1/25/17",2016,2,8,37,"y","Jump Shot","3PT Field Goal",23,"Charlotte Hornets",238,3,"Klay Thompson","shot yes",16
"2025","Golden State Warriors","1/25/17",2016,1,9,16,"n","Jump Shot","2PT Field Goal",19,"Charlotte Hornets",-70,183,"Klay Thompson","shot no",3
"2026","Golden State Warriors","1/25/17",2016,2,6,59,"n","Jump Shot","3PT Field Goal",22,"Charlotte Hornets",227,26,"Klay Thompson","shot no",18
"2027","Golden State Warriors","3/14/17",2016,2,6,24,"n","Jump Shot","2PT Field Goal",15,"Philadelphia 76ers",-30,151,"Klay Thompson","shot no",18
"2028","Golden State Warriors","3/14/17",2016,3,6,10,"n","Jump Shot","2PT Field Goal",7,"Philadelphia 76ers",20,70,"Klay Thompson","shot no",30
"2029","Golden State Warriors","3/14/17",2016,2,7,14,"y","Jump Shot","2PT Field Goal",12,"Philadelphia 76ers",87,85,"Klay Thompson","shot yes",17
"2030","Golden State Warriors","3/14/17",2016,2,0,6,"n","Jump Shot","2PT Field Goal",16,"Philadelphia 76ers",107,124,"Klay Thompson","shot no",24
"2031","Golden State Warriors","3/14/17",2016,3,2,5,"n","Jump Shot","2PT Field Goal",18,"Philadelphia 76ers",153,101,"Klay Thompson","shot no",34
"2032","Golden State Warriors","3/14/17",2016,2,1,30,"n","Jump Shot","2PT Field Goal",13,"Philadelphia 76ers",-127,36,"Klay Thompson","shot no",23
"2033","Golden State Warriors","3/14/17",2016,1,6,13,"y","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",210,129,"Klay Thompson","shot yes",6
"2034","Golden State Warriors","3/14/17",2016,3,5,5,"n","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",195,169,"Klay Thompson","shot no",31
"2035","Golden State Warriors","3/14/17",2016,1,11,8,"n","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",238,57,"Klay Thompson","shot no",1
"2036","Golden State Warriors","3/14/17",2016,2,9,30,"n","Jump Shot","2PT Field Goal",17,"Philadelphia 76ers",-97,149,"Klay Thompson","shot no",15
"2037","Golden State Warriors","4/4/17",2016,3,4,11,"y","Jump Shot","3PT Field Goal",32,"Minnesota Timberwolves",181,272,"Klay Thompson","shot yes",32
"2038","Golden State Warriors","4/4/17",2016,1,5,30,"n","Jump Shot","3PT Field Goal",25,"Minnesota Timberwolves",-20,254,"Klay Thompson","shot no",7
"2039","Golden State Warriors","4/4/17",2016,1,10,57,"n","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",-35,237,"Klay Thompson","shot no",2
"2040","Golden State Warriors","4/4/17",2016,1,11,23,"y","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",230,16,"Klay Thompson","shot yes",1
"2041","Golden State Warriors","4/4/17",2016,2,8,5,"n","Jump Shot","3PT Field Goal",23,"Minnesota Timberwolves",-233,16,"Klay Thompson","shot no",16
"2042","Golden State Warriors","4/4/17",2016,4,10,40,"n","Jump Shot","3PT Field Goal",26,"Minnesota Timberwolves",143,223,"Klay Thompson","shot no",38
"2043","Golden State Warriors","4/4/17",2016,3,10,10,"n","Jump Shot","2PT Field Goal",11,"Minnesota Timberwolves",117,26,"Klay Thompson","shot no",26
